user_id,gender,age,race,facebook,pinterest,instagram,linkedin,twitter
47,Male,50-64,White Non-Hispanic,No,Yes,Yes,Yes,Yes
48,Female,50-64,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
49,Female,18-29,Black Non-Hispanic,No,Yes,Yes,No,No
50,Male,65+,Hispanic,Yes,Yes,No,Yes,No
51,Female,18-29,Hispanic,Yes,Yes,No,Yes,Yes
52,Female,30-49,White Non-Hispanic,Yes,No,Yes,Yes,No
53,Female,50-64,White Non-Hispanic,No,No,Yes,Yes,Yes
54,Male,30-49,White Non-Hispanic,Yes,No,Yes,Yes,No
55,Female,18-29,White Non-Hispanic,Yes,No,Yes,No,Yes
56,Female,65+,Black Non-Hispanic,Yes,No,No,Yes,Yes
57,Male,65+,White Non-Hispanic,Yes,No,Yes,Yes,Yes
58,Male,50-64,Hispanic,Yes,Yes,Yes,Yes,No
59,Male,50-64,Black Non-Hispanic,No,No,Yes,Yes,No
60,Female,30-49,Hispanic,No,No,No,No,Yes
61,Female,18-29,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
62,Male,50-64,White Non-Hispanic,Yes,No,Yes,Yes,No
63,Female,50-64,Black Non-Hispanic,No,No,No,Yes,Yes
64,Female,65+,White Non-Hispanic,Yes,Yes,No,No,Yes
65,Female,18-29,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
66,Female,65+,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
67,Female,30-49,White Non-Hispanic,No,Yes,Yes,Yes,Yes
68,Female,50-64,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
69,Male,18-29,Black Non-Hispanic,Yes,Yes,No,Yes,Yes
70,Female,30-49,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
71,Female,30-49,Hispanic,Yes,No,Yes,Yes,No
72,Female,30-49,White Non-Hispanic,Yes,Yes,Yes,No,No
73,Male,50-64,White Non-Hispanic,No,No,Yes,No,Yes
74,Male,30-49,Black Non-Hispanic,Yes,No,Yes,No,Yes
75,Male,30-49,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
76,Female,65+,Hispanic,No,Yes,Yes,No,Yes
77,Male,65+,White Non-Hispanic,Yes,No,Yes,Yes,Yes
78,Male,50-64,White Non-Hispanic,No,No,Yes,No,No
79,Female,18-29,White Non-Hispanic,Yes,No,Yes,Yes,Yes
80,Female,18-29,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
81,Female,50-64,Hispanic,No,Yes,Yes,Yes,Yes
82,Male,30-49,Black Non-Hispanic,No,Yes,Yes,Yes,Yes
83,Male,18-29,Hispanic,Yes,Yes,Yes,Yes,No
84,Male,30-49,Hispanic,No,Yes,No,No,Yes
85,Male,18-29,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
86,Female,30-49,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
87,Male,30-49,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
88,Male,30-49,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
89,Male,50-64,Hispanic,Yes,No,Yes,Yes,Yes
90,Female,50-64,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
91,Male,18-29,White Non-Hispanic,Yes,No,Yes,Yes,Yes
92,Male,65+,White Non-Hispanic,Yes,No,Yes,Yes,Yes
93,Female,18-29,White Non-Hispanic,Yes,No,No,Yes,Yes
94,Male,30-49,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
95,Female,18-29,Black Non-Hispanic,Yes,No,Yes,No,Yes
96,Male,18-29,Hispanic,Yes,No,Yes,Yes,Yes
97,Male,18-29,Black Non-Hispanic,Yes,No,No,Yes,Yes
98,Male,18-29,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
99,Male,65+,White Non-Hispanic,Yes,No,No,Yes,Yes
100,Female,50-64,White Non-Hispanic,Yes,Yes,Yes,Yes,No
101,Female,50-64,White Non-Hispanic,Yes,Yes,No,Yes,Yes
102,Female,50-64,Hispanic,No,No,Yes,Yes,Yes
103,Female,18-29,White Non-Hispanic,No,Yes,Yes,No,No
104,Female,18-29,Hispanic,Yes,Yes,Yes,No,Yes
105,Male,30-49,Hispanic,Yes,No,Yes,Yes,Yes
106,Female,65+,Black Non-Hispanic,No,Yes,No,No,Yes
107,Male,30-49,Black Non-Hispanic,Yes,Yes,Yes,No,Yes
108,Female,50-64,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
109,Female,65+,Black Non-Hispanic,No,No,Yes,Yes,Yes
110,Male,65+,Black Non-Hispanic,Yes,Yes,No,Yes,Yes
111,Male,65+,White Non-Hispanic,No,No,No,Yes,Yes
112,Male,65+,Hispanic,Yes,No,Yes,Yes,Yes
113,Male,65+,White Non-Hispanic,Yes,Yes,Yes,No,Yes
114,Female,65+,White Non-Hispanic,No,No,Yes,Yes,Yes
115,Male,65+,Hispanic,Yes,Yes,Yes,Yes,Yes
116,Male,65+,Hispanic,Yes,No,Yes,Yes,Yes
117,Male,18-29,Hispanic,No,No,Yes,Yes,Yes
118,Female,65+,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
119,Male,18-29,Hispanic,Yes,Yes,Yes,Yes,Yes
120,Female,65+,Black Non-Hispanic,Yes,Yes,Yes,No,No
121,Male,18-29,Hispanic,No,Yes,Yes,Yes,Yes
122,Male,50-64,Hispanic,Yes,Yes,Yes,Yes,Yes
123,Male,18-29,Black Non-Hispanic,Yes,Yes,Yes,No,Yes
124,Female,30-49,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
125,Female,50-64,Hispanic,Yes,No,Yes,Yes,Yes
126,Male,50-64,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
127,Female,30-49,Hispanic,Yes,Yes,Yes,Yes,No
128,Male,65+,White Non-Hispanic,No,No,No,Yes,Yes
129,Female,65+,Hispanic,Yes,Yes,Yes,No,Yes
130,Female,65+,White Non-Hispanic,Yes,No,Yes,Yes,Yes
131,Female,30-49,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
132,Female,18-29,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
133,Male,65+,Black Non-Hispanic,No,Yes,Yes,Yes,Yes
134,Male,65+,Hispanic,Yes,No,Yes,Yes,Yes
135,Male,18-29,White Non-Hispanic,Yes,No,No,Yes,Yes
136,Female,18-29,White Non-Hispanic,Yes,No,Yes,Yes,Yes
137,Male,50-64,Hispanic,Yes,No,No,Yes,Yes
138,Male,50-64,Black Non-Hispanic,Yes,No,Yes,Yes,No
139,Female,65+,Hispanic,Yes,No,Yes,Yes,Yes
140,Female,30-49,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
141,Female,50-64,White Non-Hispanic,Yes,Yes,No,No,Yes
142,Female,18-29,Hispanic,Yes,Yes,Yes,Yes,Yes
143,Female,65+,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
144,Female,18-29,Hispanic,Yes,No,Yes,Yes,Yes
145,Male,65+,Black Non-Hispanic,Yes,Yes,Yes,No,Yes
146,Male,18-29,Black Non-Hispanic,Yes,Yes,Yes,No,No
147,Male,30-49,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
148,Female,30-49,Black Non-Hispanic,No,No,Yes,Yes,Yes
149,Male,50-64,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
150,Male,30-49,White Non-Hispanic,Yes,No,Yes,No,Yes
151,Female,18-29,Hispanic,No,No,Yes,Yes,Yes
152,Female,50-64,White Non-Hispanic,Yes,No,Yes,No,Yes
153,Female,65+,Black Non-Hispanic,Yes,No,No,Yes,Yes
154,Female,18-29,Black Non-Hispanic,Yes,Yes,Yes,No,Yes
155,Female,65+,White Non-Hispanic,Yes,No,Yes,No,Yes
156,Female,30-49,White Non-Hispanic,No,Yes,Yes,Yes,Yes
157,Male,30-49,White Non-Hispanic,Yes,No,Yes,Yes,No
158,Male,50-64,White Non-Hispanic,No,No,Yes,No,Yes
159,Male,30-49,Black Non-Hispanic,No,No,Yes,No,Yes
160,Female,30-49,Hispanic,Yes,Yes,Yes,Yes,Yes
161,Male,65+,Hispanic,Yes,No,Yes,No,Yes
162,Female,65+,Hispanic,No,Yes,Yes,Yes,Yes
163,Female,30-49,White Non-Hispanic,Yes,No,Yes,Yes,Yes
164,Male,30-49,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
165,Female,30-49,Hispanic,Yes,Yes,Yes,Yes,Yes
166,Male,50-64,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
167,Female,18-29,Black Non-Hispanic,Yes,Yes,Yes,No,Yes
168,Female,50-64,Hispanic,No,Yes,Yes,Yes,Yes
169,Male,18-29,Hispanic,Yes,Yes,No,No,Yes
170,Female,65+,Hispanic,Yes,Yes,Yes,Yes,Yes
171,Female,65+,White Non-Hispanic,Yes,Yes,Yes,No,Yes
172,Female,30-49,White Non-Hispanic,Yes,No,Yes,Yes,Yes
173,Female,65+,Hispanic,Yes,Yes,No,No,Yes
174,Female,18-29,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
175,Female,50-64,Black Non-Hispanic,Yes,Yes,Yes,No,Yes
176,Female,18-29,Hispanic,Yes,Yes,Yes,Yes,Yes
177,Female,50-64,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
178,Male,30-49,White Non-Hispanic,Yes,Yes,Yes,No,Yes
179,Male,65+,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
180,Female,30-49,Black Non-Hispanic,Yes,Yes,No,Yes,Yes
181,Female,50-64,Hispanic,Yes,No,No,No,Yes
182,Male,50-64,White Non-Hispanic,Yes,No,Yes,No,Yes
183,Female,50-64,Hispanic,Yes,No,Yes,Yes,Yes
184,Male,30-49,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
185,Female,65+,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
186,Female,50-64,Black Non-Hispanic,No,No,Yes,No,Yes
187,Male,65+,Black Non-Hispanic,Yes,No,Yes,No,Yes
188,Female,30-49,Hispanic,Yes,No,Yes,No,Yes
189,Female,30-49,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
190,Male,50-64,Black Non-Hispanic,No,Yes,Yes,No,Yes
191,Female,50-64,Black Non-Hispanic,Yes,No,Yes,No,Yes
192,Male,65+,White Non-Hispanic,No,Yes,No,No,Yes
193,Male,65+,Black Non-Hispanic,No,Yes,Yes,Yes,No
194,Female,50-64,Black Non-Hispanic,Yes,Yes,Yes,No,Yes
195,Female,30-49,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
196,Female,30-49,Hispanic,No,Yes,Yes,Yes,Yes
197,Male,30-49,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
198,Male,65+,Black Non-Hispanic,Yes,Yes,Yes,No,No
199,Male,30-49,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
200,Male,50-64,Hispanic,Yes,No,No,No,Yes
201,Female,65+,Hispanic,Yes,No,Yes,Yes,Yes
202,Male,30-49,White Non-Hispanic,Yes,No,Yes,Yes,Yes
203,Female,30-49,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
204,Female,50-64,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
205,Male,50-64,Hispanic,Yes,No,Yes,No,Yes
206,Male,18-29,Hispanic,No,Yes,Yes,Yes,Yes
207,Female,18-29,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
208,Female,65+,White Non-Hispanic,No,No,Yes,No,Yes
209,Female,65+,Hispanic,Yes,No,Yes,No,Yes
210,Male,30-49,White Non-Hispanic,Yes,No,Yes,Yes,Yes
211,Female,65+,Black Non-Hispanic,No,No,No,No,No
212,Male,30-49,Hispanic,Yes,No,Yes,No,Yes
213,Female,30-49,White Non-Hispanic,Yes,No,No,Yes,Yes
214,Female,65+,Black Non-Hispanic,Yes,No,Yes,No,Yes
215,Female,30-49,Black Non-Hispanic,Yes,Yes,Yes,No,Yes
216,Female,50-64,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
217,Female,50-64,Hispanic,Yes,Yes,Yes,Yes,Yes
218,Male,30-49,Hispanic,Yes,No,Yes,Yes,Yes
219,Female,30-49,Hispanic,Yes,No,Yes,Yes,Yes
220,Female,50-64,Hispanic,No,No,Yes,Yes,Yes
221,Male,18-29,Black Non-Hispanic,No,No,Yes,Yes,Yes
222,Female,50-64,White Non-Hispanic,Yes,No,Yes,Yes,Yes
223,Male,50-64,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
224,Female,30-49,Black Non-Hispanic,No,Yes,Yes,Yes,Yes
225,Female,50-64,White Non-Hispanic,No,Yes,Yes,Yes,Yes
226,Male,65+,White Non-Hispanic,Yes,No,Yes,No,No
227,Male,50-64,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
228,Male,30-49,Black Non-Hispanic,Yes,No,Yes,No,No
229,Female,30-49,White Non-Hispanic,No,No,Yes,Yes,Yes
230,Male,50-64,Hispanic,Yes,No,Yes,No,Yes
231,Male,18-29,White Non-Hispanic,Yes,Yes,Yes,No,Yes
232,Male,30-49,White Non-Hispanic,Yes,Yes,Yes,No,Yes
233,Female,50-64,White Non-Hispanic,Yes,Yes,Yes,No,Yes
234,Female,30-49,Hispanic,Yes,No,Yes,Yes,Yes
235,Male,65+,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
236,Female,18-29,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
237,Female,50-64,Black Non-Hispanic,Yes,No,Yes,No,Yes
238,Female,50-64,Black Non-Hispanic,Yes,No,Yes,No,Yes
239,Female,50-64,Black Non-Hispanic,No,Yes,Yes,No,No
240,Male,30-49,Hispanic,Yes,Yes,Yes,Yes,Yes
241,Male,65+,Black Non-Hispanic,No,Yes,Yes,Yes,Yes
242,Male,18-29,Hispanic,No,No,Yes,Yes,Yes
243,Female,18-29,Hispanic,Yes,Yes,Yes,Yes,No
244,Female,18-29,Hispanic,Yes,No,Yes,Yes,Yes
245,Male,50-64,White Non-Hispanic,No,Yes,Yes,Yes,Yes
246,Male,65+,White Non-Hispanic,No,No,No,Yes,Yes
247,Female,50-64,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
248,Male,30-49,Hispanic,Yes,Yes,Yes,Yes,No
249,Female,50-64,Black Non-Hispanic,Yes,Yes,No,Yes,No
250,Female,65+,White Non-Hispanic,Yes,No,Yes,Yes,Yes
251,Male,50-64,White Non-Hispanic,Yes,No,Yes,Yes,Yes
252,Female,65+,Hispanic,Yes,Yes,No,Yes,Yes
253,Female,65+,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
254,Male,30-49,White Non-Hispanic,Yes,No,No,Yes,Yes
255,Female,65+,Hispanic,Yes,No,Yes,Yes,Yes
256,Female,50-64,White Non-Hispanic,No,Yes,Yes,No,Yes
257,Female,30-49,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
258,Male,30-49,White Non-Hispanic,Yes,No,Yes,Yes,Yes
259,Female,18-29,Black Non-Hispanic,Yes,Yes,Yes,No,Yes
260,Female,65+,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
261,Female,18-29,White Non-Hispanic,Yes,No,Yes,Yes,No
262,Female,30-49,Hispanic,Yes,Yes,Yes,Yes,Yes
263,Male,30-49,Hispanic,No,Yes,Yes,Yes,No
264,Female,30-49,White Non-Hispanic,Yes,Yes,Yes,No,Yes
265,Female,18-29,Black Non-Hispanic,No,Yes,Yes,Yes,Yes
266,Male,65+,White Non-Hispanic,No,Yes,Yes,Yes,Yes
267,Male,18-29,Hispanic,No,Yes,Yes,No,Yes
268,Female,50-64,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
269,Female,18-29,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
270,Male,50-64,Black Non-Hispanic,Yes,No,Yes,No,Yes
271,Female,18-29,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
272,Male,65+,Hispanic,Yes,No,Yes,Yes,Yes
273,Male,18-29,Hispanic,Yes,No,No,Yes,Yes
274,Female,65+,Hispanic,Yes,No,No,Yes,Yes
275,Male,50-64,Hispanic,Yes,Yes,Yes,Yes,Yes
276,Female,30-49,Hispanic,Yes,Yes,Yes,Yes,Yes
277,Male,65+,Hispanic,Yes,No,Yes,Yes,Yes
278,Male,50-64,Hispanic,Yes,No,Yes,No,Yes
279,Female,50-64,Hispanic,Yes,No,Yes,No,Yes
280,Male,50-64,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
281,Female,18-29,Black Non-Hispanic,Yes,No,Yes,No,Yes
282,Female,50-64,Hispanic,No,No,Yes,Yes,Yes
283,Female,30-49,Hispanic,Yes,No,Yes,Yes,Yes
284,Female,18-29,White Non-Hispanic,Yes,Yes,No,No,Yes
285,Female,65+,White Non-Hispanic,Yes,No,Yes,No,Yes
286,Male,30-49,Black Non-Hispanic,Yes,Yes,Yes,Yes,No
287,Female,65+,Hispanic,Yes,No,Yes,Yes,No
288,Female,65+,Black Non-Hispanic,Yes,No,Yes,No,Yes
289,Male,18-29,Hispanic,Yes,No,No,Yes,No
290,Male,50-64,Hispanic,No,Yes,Yes,Yes,Yes
291,Female,65+,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
292,Male,30-49,Hispanic,Yes,No,Yes,Yes,Yes
293,Female,65+,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
294,Male,65+,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
295,Female,30-49,Black Non-Hispanic,Yes,No,No,Yes,Yes
296,Male,65+,Black Non-Hispanic,No,No,Yes,Yes,Yes
297,Male,30-49,Hispanic,Yes,No,Yes,No,Yes
298,Male,65+,Black Non-Hispanic,No,No,Yes,Yes,No
299,Female,18-29,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
300,Female,50-64,Black Non-Hispanic,No,No,No,Yes,Yes
301,Male,50-64,Hispanic,No,Yes,Yes,No,Yes
302,Female,65+,Hispanic,No,Yes,Yes,Yes,No
303,Male,30-49,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
304,Male,18-29,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
305,Female,30-49,Hispanic,Yes,No,Yes,Yes,Yes
306,Female,50-64,White Non-Hispanic,Yes,No,Yes,Yes,No
307,Female,65+,Hispanic,No,Yes,Yes,No,Yes
308,Male,18-29,Hispanic,Yes,No,Yes,Yes,Yes
309,Male,65+,Hispanic,Yes,No,Yes,No,Yes
310,Male,30-49,White Non-Hispanic,No,No,Yes,Yes,Yes
311,Female,50-64,White Non-Hispanic,Yes,No,Yes,No,Yes
312,Male,50-64,Hispanic,No,No,Yes,Yes,Yes
313,Female,18-29,White Non-Hispanic,Yes,No,Yes,Yes,Yes
314,Male,65+,Black Non-Hispanic,Yes,No,Yes,Yes,No
315,Male,50-64,White Non-Hispanic,Yes,No,Yes,Yes,Yes
316,Male,30-49,Hispanic,No,Yes,Yes,No,Yes
317,Male,18-29,Hispanic,Yes,Yes,Yes,No,Yes
318,Male,50-64,Black Non-Hispanic,Yes,No,No,No,Yes
319,Male,50-64,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
320,Male,65+,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
321,Female,50-64,Black Non-Hispanic,No,Yes,Yes,Yes,Yes
322,Female,30-49,Hispanic,No,Yes,Yes,Yes,Yes
323,Female,50-64,Black Non-Hispanic,No,Yes,No,Yes,Yes
324,Male,30-49,Black Non-Hispanic,Yes,No,Yes,No,Yes
325,Female,50-64,Hispanic,Yes,Yes,No,No,Yes
326,Female,50-64,Hispanic,Yes,Yes,Yes,No,Yes
327,Male,65+,Hispanic,Yes,No,Yes,Yes,Yes
328,Male,18-29,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
329,Female,50-64,Hispanic,Yes,No,No,No,Yes
330,Female,30-49,White Non-Hispanic,No,Yes,No,No,Yes
331,Female,18-29,Hispanic,Yes,No,Yes,Yes,Yes
332,Male,30-49,Black Non-Hispanic,No,No,Yes,Yes,Yes
333,Female,30-49,Hispanic,Yes,No,Yes,No,Yes
334,Female,65+,White Non-Hispanic,Yes,No,No,No,Yes
335,Female,18-29,Black Non-Hispanic,No,Yes,Yes,Yes,Yes
336,Female,50-64,Black Non-Hispanic,No,Yes,Yes,No,Yes
337,Female,30-49,Hispanic,No,Yes,Yes,Yes,Yes
338,Male,18-29,Hispanic,Yes,Yes,Yes,Yes,No
339,Male,18-29,White Non-Hispanic,No,No,No,Yes,Yes
340,Female,65+,Hispanic,Yes,No,Yes,Yes,Yes
341,Female,50-64,White Non-Hispanic,Yes,No,Yes,No,Yes
342,Female,50-64,Hispanic,Yes,No,No,Yes,Yes
343,Male,50-64,Hispanic,No,Yes,Yes,Yes,No
344,Female,65+,Hispanic,Yes,Yes,Yes,Yes,Yes
345,Male,30-49,Black Non-Hispanic,No,Yes,Yes,No,Yes
346,Male,65+,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
347,Male,30-49,White Non-Hispanic,Yes,Yes,No,Yes,Yes
348,Female,65+,Hispanic,Yes,No,No,No,No
349,Female,50-64,Hispanic,Yes,No,Yes,Yes,Yes
350,Male,50-64,Black Non-Hispanic,Yes,No,Yes,Yes,No
351,Male,50-64,Hispanic,Yes,Yes,Yes,No,Yes
352,Male,50-64,Black Non-Hispanic,No,Yes,Yes,No,No
353,Female,30-49,White Non-Hispanic,Yes,Yes,No,Yes,Yes
354,Female,65+,Black Non-Hispanic,No,No,Yes,Yes,Yes
355,Female,50-64,Hispanic,Yes,Yes,Yes,Yes,Yes
356,Female,18-29,Black Non-Hispanic,No,Yes,Yes,No,Yes
357,Female,65+,Hispanic,Yes,No,Yes,Yes,Yes
358,Female,65+,Hispanic,Yes,No,Yes,Yes,Yes
359,Male,18-29,Hispanic,Yes,No,Yes,Yes,No
360,Male,18-29,Hispanic,Yes,Yes,Yes,Yes,Yes
361,Female,50-64,Hispanic,Yes,Yes,Yes,No,Yes
362,Male,18-29,Hispanic,No,Yes,Yes,Yes,No
363,Male,50-64,White Non-Hispanic,Yes,No,Yes,Yes,Yes
364,Female,50-64,Hispanic,No,No,No,No,Yes
365,Male,18-29,Hispanic,Yes,No,Yes,Yes,Yes
366,Female,50-64,Hispanic,Yes,No,Yes,No,Yes
367,Female,50-64,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
368,Female,50-64,Black Non-Hispanic,No,Yes,Yes,No,Yes
369,Male,50-64,Hispanic,Yes,No,No,Yes,No
370,Female,18-29,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
371,Male,18-29,Hispanic,Yes,No,No,No,Yes
372,Male,18-29,White Non-Hispanic,No,No,Yes,Yes,Yes
373,Female,50-64,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
374,Female,30-49,Black Non-Hispanic,Yes,Yes,Yes,Yes,No
375,Female,50-64,Hispanic,No,Yes,Yes,Yes,Yes
376,Female,30-49,Black Non-Hispanic,Yes,Yes,No,No,Yes
377,Male,65+,Hispanic,Yes,No,Yes,Yes,Yes
378,Male,50-64,White Non-Hispanic,Yes,Yes,No,No,Yes
379,Male,50-64,Hispanic,Yes,No,Yes,Yes,No
380,Female,18-29,White Non-Hispanic,No,Yes,Yes,No,Yes
381,Female,30-49,White Non-Hispanic,Yes,No,No,Yes,Yes
382,Male,30-49,Black Non-Hispanic,No,Yes,Yes,Yes,Yes
383,Female,65+,White Non-Hispanic,No,No,Yes,No,Yes
384,Female,18-29,Hispanic,Yes,Yes,Yes,Yes,Yes
385,Female,65+,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
386,Male,30-49,Hispanic,Yes,Yes,No,Yes,Yes
387,Male,50-64,White Non-Hispanic,Yes,No,Yes,No,Yes
388,Male,50-64,Black Non-Hispanic,No,No,Yes,No,Yes
389,Male,65+,White Non-Hispanic,Yes,Yes,Yes,Yes,No
390,Female,50-64,White Non-Hispanic,Yes,Yes,Yes,No,Yes
391,Female,30-49,Hispanic,Yes,No,Yes,Yes,Yes
392,Female,30-49,Hispanic,Yes,Yes,Yes,No,Yes
393,Male,18-29,Hispanic,Yes,Yes,Yes,Yes,Yes
394,Male,65+,Hispanic,Yes,No,Yes,Yes,Yes
395,Female,30-49,Black Non-Hispanic,Yes,Yes,No,Yes,Yes
396,Female,50-64,Hispanic,Yes,No,No,Yes,No
397,Female,18-29,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
398,Female,65+,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
